,title,plays,duration,release_date,cover_url
,Psihedelia,12925379.0,3:46,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Se Periptosi Pou,12388799.0,3:59,2024-11-08,https://i.scdn.co/image/ab67616d0000b273343e5fe2e45a694fd8575f86
,Lekes,9132601.0,4:15,2023-11-10,https://i.scdn.co/image/ab67616d0000b273985d3288f7a0fc2669ef61a9
,Aima,9010271.0,3:29,2022-05-30,https://i.scdn.co/image/ab67616d0000b273dafcec9ea3e0a082230a81f2
,Eleni,6565429.0,4:56,1995-09-18,https://i.scdn.co/image/ab67616d0000b2739b1659f5770ea89cfad1f157
,Protimo,6302778.0,4:04,2012-12-31,https://i.scdn.co/image/ab67616d0000b273c5a969889ee87ce65ce30a24
,Einai Asteio,5824185.0,3:41,2023-07-10,https://i.scdn.co/image/ab67616d0000b27370fe9f99614c45aa5e98845a
,Sti Pira,5605122.0,3:07,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
,Ise,4820715.0,4:21,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Ola Gia Ola,4782127.0,4:42,2025-04-04,https://i.scdn.co/image/ab67616d0000b273fe6b9e2d1c01cfd433154466
,Kontra,4740168.0,3:52,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
,Eho Pethani Gia Sena,4208125.0,3:54,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Agapi Ipervoliki,4106014.0,4:50,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Gazoza,4001820.0,3:45,2022-12-12,https://i.scdn.co/image/ab67616d0000b273e62aef58bf21754351c07baa
,To Poli Poli,3945477.0,4:26,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Treno,3626868.0,4:49,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Kai Eho Tosa Na Thymamai - Hotel Ermou Live Version,3173030.0,2:43,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Atmosphera Ilectrismeni,2664935.0,5:14,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Sigharitiria,2584964.0,5:09,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Dodeka,2506375.0,5:22,1985-01-10,https://i.scdn.co/image/ab67616d0000b2735f20f2f63fe64bfe775da003
,Horis To Moro Mou,2387549.0,3:55,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Pes To Xana - Hotel Ermou Live Version,2361240.0,1:54,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Protimo '24,2321823.0,4:08,2024-03-12,https://i.scdn.co/image/ab67616d0000b2735732dcd068158156f5f237da
,Shizofrenia,2316599.0,4:05,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Sandre,2309283.0,4:04,2025-06-27,https://i.scdn.co/image/ab67616d0000b2734eaa7d1f10cf5335d0ff8ceb
,Xana Mana,2231201.0,4:53,2015-11-30,https://i.scdn.co/image/ab67616d0000b273b0f3e9716968614adad15b00
,Psihedelia - Live Version,2147311.0,3:13,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
,Xrysopsara,2143495.0,3:54,2024-05-17,https://i.scdn.co/image/ab67616d0000b27325f421c6d59fc75c96b58108
,O Telefteos Horos,2116747.0,5:52,1991-07-05,https://i.scdn.co/image/ab67616d0000b273f3e327be7438dc36251320dc
,Empnefsi - Hotel Ermou Live Version,2071406.0,2:26,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Tyraniemai,1983208.0,4:00,2012-06-11,https://i.scdn.co/image/ab67616d0000b27320a5bdab0e7d4b31ec3d8fe6
,Emis,1868890.0,3:44,1992-05-28,https://i.scdn.co/image/ab67616d0000b2735c6925bf70a4960c8e124d86
,Den Thelo Na Xeris,1837078.0,5:19,1992-05-28,https://i.scdn.co/image/ab67616d0000b273ec8882aba54284ba0cf8e1fd
,Kaka Pedia,1803523.0,5:12,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,"Se Thelo, Me Thelis (Mixed)",1788083.0,4:25,1997-04-16,https://i.scdn.co/image/ab67616d0000b2737e1785e00c2e1ce8aef7bb61
,Everything,1777266.0,2:60,2006-03-31,https://i.scdn.co/image/ab67616d0000b2739c457e147f0aa4c6c4cead88
,Protereotita,1754322.0,4:15,2010-11-08,https://i.scdn.co/image/ab67616d0000b2734ac13d5da9b353fd4e6ab919
,Pes To Ksana,1654726.0,3:51,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Sentonia,1651217.0,3:47,1996-02-29,https://i.scdn.co/image/ab67616d0000b2732abb79908fe729496b83a191
,Moni Mou,1635998.0,3:54,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Ke Eho Tosa Na Thimame,1560585.0,3:46,1984-03-14,https://i.scdn.co/image/ab67616d0000b273748dabd792ec65b630b3015e
,Ekpliksi,1539623.0,4:21,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Vaterlo,1491804.0,3:58,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Ki Omos Den Teleionei,1423420.0,4:06,2021-06-11,https://i.scdn.co/image/ab67616d0000b273c5cd7945d06063c34e380b01
,Ekatommiria,1401829.0,4:04,1996-02-29,https://i.scdn.co/image/ab67616d0000b2732abb79908fe729496b83a191
,Oso Eho Foni,1285669.0,2:22,1981-05-25,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Oso Eho Foni - Hotel Ermou Live Version,1280244.0,1:35,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Eisai - Hotel Ermou Live Version,1277939.0,2:04,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Gia Sas Triadafilla,1270119.0,2:50,2004-01-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Na 'Se Kala,1266086.0,4:03,1997-04-16,https://i.scdn.co/image/ab67616d0000b273e69329448409b803d727719e
,Ksana,1266042.0,4:56,2023-06-26,https://i.scdn.co/image/ab67616d0000b27313381f57957f2c1c8cd65217
,Adistrofi Metrisi,1184708.0,4:00,1984-03-14,https://i.scdn.co/image/ab67616d0000b2739af901b9d9530c01a829a585
,Kalitera I Dio Mas (with Kaiti Garbi),1135262.0,4:15,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Tasis Aftoktonias,1116397.0,4:11,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Sta Hronia Tis Ipomonis,1115230.0,2:55,1975-04-19,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Pragmata,1098672.0,4:37,1986-04-22,https://i.scdn.co/image/ab67616d0000b27365c697e7b6b91a77ace8b7b2
,Den Me Agapas,1083994.0,4:56,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Magiko Hali - Hotel Ermou Live Version,994462.0,4:25,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Apo Makria Ke Agapimeni,987760.0,4:02,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
,Agapi Ypervoliki - Hotel Ermou Live Version,941900.0,1:35,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Apodeixeis - Hotel Ermou Live Version,865341.0,2:26,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Travma,811450.0,4:31,1997-04-16,https://i.scdn.co/image/ab67616d0000b273e69329448409b803d727719e
,Erotevmenaki,800547.0,3:23,1998-04-01,https://i.scdn.co/image/ab67616d0000b273ef7de8aeb8507a7c7990668f
,Agapi Ine Esi,780072.0,4:11,2010-11-01,https://i.scdn.co/image/ab67616d0000b2734ac13d5da9b353fd4e6ab919
,S' Eho Epithimisi,766881.0,3:44,1998-04-01,https://i.scdn.co/image/ab67616d0000b273ef7de8aeb8507a7c7990668f
,Ola Ta Lefta,745646.0,3:47,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Aftos Pou Perimeno,697873.0,2:29,1993-06-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Kalimera Kenourgia Mou Agapi,691876.0,3:10,1993-06-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Treno - Hotel Ermou Live Version,686157.0,2:29,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Agapi Einai Esy - Hotel Ermou Live Version,677151.0,0:37,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Fabulous,670726.0,2:59,2009-11-16,https://i.scdn.co/image/ab67616d0000b2733c1000a31c891246e049028f
,Agapi Ypervoliki - 2023 Version,668999.0,3:23,2022-12-23,https://i.scdn.co/image/ab67616d0000b27335075122c25f7c290f1a676c
,Pragmata - Hotel Ermou Live Version,649448.0,3:55,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Treno - Live Version,639400.0,5:30,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
