No,_key,title,plays,duration,release_date,cover_url
1,1988 ki akoma s'agapo|323,1988 Ki Akoma S'Agapo,17175.0,5:23,1988-06-23,https://i.scdn.co/image/ab67616d0000b27335ea6e4b84aab9e468c0b007
2,a beautiful night|181,A Beautiful Night,6497.0,3:01,2006-04-27,https://i.scdn.co/image/ab67616d0000b2735f53fb746df6aa43779c809e
3,aaa aaa (ke horisame)|181,Aaa Aaa (Ke Horisame),153782.0,3:01,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
4,adika|250,Adika,33335.0,4:10,1991-02-07,https://i.scdn.co/image/ab67616d0000b27394e085b2ede4f62a20f60820
5,adikos o horismos mas|193,Adikos O Horismos Mas,4750.0,3:13,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
6,adistrofi metrisi - live|132,Adistrofi Metrisi - Live,20674.0,2:12,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
7,adistrofi metrisi|240,Adistrofi Metrisi,1224013.0,4:00,1984-03-14,https://i.scdn.co/image/ab67616d0000b2739af901b9d9530c01a829a585
8,afixi sto aousvits - instrumental|102,Afixi Sto Aousvits - Instrumental,1886.0,1:42,2002-04-26,https://i.scdn.co/image/ab67616d0000b273b8576e13c95219ae8e9a0a18
9,afou|287,Afou,65839.0,4:47,2017-11-07,https://i.scdn.co/image/ab67616d0000b27366d4ff48ff0e9581568369a1
10,after you|297,After You,6294.0,4:57,2000-06-13,https://i.scdn.co/image/ab67616d0000b27355c69d02a37edefde7c5a8ce
11,afti ti fora|376,Afti Ti Fora,331960.0,6:16,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
12,aftos pou perimeno - anna's dream mix|264,Aftos Pou Perimeno - Anna's Dream Mix,32329.0,4:24,1997-11-07,https://i.scdn.co/image/ab67616d0000b27335c3c159825c6c895d064586
13,aftos pou perimeno - disco in the house mix|147,Aftos Pou Perimeno - Disco In The House Mix,31348.0,2:27,1997-11-07,https://i.scdn.co/image/ab67616d0000b27335c3c159825c6c895d064586
14,aftos pou perimeno - live version|29,Aftos Pou Perimeno - Live Version,1009.0,0:29,1984-03-14,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
15,aftos pou perimeno|149,Aftos Pou Perimeno,718026.0,2:29,1993-06-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
16,aftoshediasmos - live version|177,Aftoshediasmos - Live Version,41195.0,2:57,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
17,agapa me (abrazame) - live version|90,Agapa Me (Abrazame) - Live Version,75749.0,1:30,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
18,agapa me|138,Agapa Me,28396.0,2:18,1985-01-10,https://i.scdn.co/image/ab67616d0000b2735f20f2f63fe64bfe775da003
19,agapes|173,Agapes,6408.0,2:53,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
20,agapi einai esy - hotel ermou live version|37,Agapi Einai Esy - Hotel Ermou Live Version,678030.0,0:37,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
21,agapi ine esi|251,Agapi Ine Esi,786240.0,4:11,2010-11-01,https://i.scdn.co/image/ab67616d0000b2734ac13d5da9b353fd4e6ab919
22,agapi ine|248,Agapi Ine,498637.0,4:08,2005-09-26,https://i.scdn.co/image/ab67616d0000b2737378ccb9d3a30519e6335e07
23,agapi ipervoliki - live version|357,Agapi Ipervoliki - Live Version,135860.0,5:57,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
24,agapi ipervoliki|290,Agapi Ipervoliki,4154171.0,4:50,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
25,agapi ke misos|278,Agapi Ke Misos,12441.0,4:38,1986-04-22,https://i.scdn.co/image/ab67616d0000b27365c697e7b6b91a77ace8b7b2
26,agapi mou - remastered|177,Agapi Mou - Remastered,7905.0,2:57,2006-03-30,https://i.scdn.co/image/ab67616d0000b273ef7a44a6675dfe98f00922c9
27,agapi ypervoliki - 2023 version|203,Agapi Ypervoliki - 2023 Version,670080.0,3:23,2022-12-23,https://i.scdn.co/image/ab67616d0000b27335075122c25f7c290f1a676c
28,agapi ypervoliki - hotel ermou live version|95,Agapi Ypervoliki - Hotel Ermou Live Version,956409.0,1:35,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
29,agapisa ton pou karkias|226,Agapisa Ton Pou Karkias,12513.0,3:46,1995-07-20,https://i.scdn.co/image/ab67616d0000b2734d55039ddd94bdc5884066c7
30,agapise me|165,Agapise Me,21188.0,2:45,1980-04-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
31,agapoula mou - hotel ermou live version|127,Agapoula Mou - Hotel Ermou Live Version,175156.0,2:07,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
32,agapoula mou|208,Agapoula Mou,637005.0,3:28,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
33,agoni grammi|254,Agoni Grammi,34515.0,4:14,1996-02-29,https://i.scdn.co/image/ab67616d0000b2732abb79908fe729496b83a191
34,ah den m' agapas|192,Ah Den M' Agapas,5615.0,3:12,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
35,ahoristoi - give in to me|197,Ahoristoi - Give In to Me,48943.0,3:17,2015-11-30,https://i.scdn.co/image/ab67616d0000b273b0f3e9716968614adad15b00
36,aima - antonis dimitriadis remix|180,Aima - Antonis Dimitriadis Remix,121903.0,2:60,2022-07-18,https://i.scdn.co/image/ab67616d0000b273891096483ec406d440b2b9ae
37,aima - extended mix|234,Aima - Extended Mix,19050.0,3:54,2022-07-25,https://i.scdn.co/image/ab67616d0000b2731366eb3439e7e5a7dc43fed6
38,aima - extended mix|376,Aima - Extended Mix,11468.0,6:16,2022-07-25,https://i.scdn.co/image/ab67616d0000b2731c5a73fce8260da1c5f19366
39,aima - radio edit|202,Aima - Radio Edit,20704.0,3:22,2022-07-25,https://i.scdn.co/image/ab67616d0000b2731366eb3439e7e5a7dc43fed6
40,aima - radio edit|225,Aima - Radio Edit,17105.0,3:45,2022-07-25,https://i.scdn.co/image/ab67616d0000b2731c5a73fce8260da1c5f19366
41,aima|209,Aima,9044647.0,3:29,2022-05-30,https://i.scdn.co/image/ab67616d0000b273dafcec9ea3e0a082230a81f2
42,aipnies|257,Aipnies,28586.0,4:17,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
43,akoma mia - hotel ermou live version|109,Akoma Mia - Hotel Ermou Live Version,137480.0,1:49,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
44,akoma mia - live|197,Akoma Mia - Live,18790.0,3:17,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
45,akoma mia|291,Akoma Mia,195812.0,4:51,1992-12-24,https://i.scdn.co/image/ab67616d0000b273ec8882aba54284ba0cf8e1fd
46,akomi ena vradi edo|223,Akomi Ena Vradi Edo,3271.0,3:43,2002-04-26,https://i.scdn.co/image/ab67616d0000b273b8576e13c95219ae8e9a0a18
47,alimono alimono - mixed|48,Alimono Alimono - Mixed,7099.0,0:48,2005-11-09,https://i.scdn.co/image/ab67616d0000b27358a45a966c0c09b8b5371b8d
48,alitissa psihi|271,Alitissa Psihi,409933.0,4:31,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
49,allimono allimono - live version|55,Allimono Allimono - Live Version,52856.0,0:55,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
50,ama thes na klapsis klapse - live version|78,Ama Thes Na Klapsis Klapse - Live Version,56594.0,1:18,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
51,amin|265,Amin,31150.0,4:25,1995-09-18,https://i.scdn.co/image/ab67616d0000b2739b1659f5770ea89cfad1f157
52,amore|156,Amore,11798.0,2:36,1989-03-24,https://i.scdn.co/image/ab67616d0000b273feb9079b2827195dbd9c7994
53,an s' erotefto|209,An S' Erotefto,106976.0,3:29,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
54,an toulahiston - remastered|170,An Toulahiston - Remastered,5874.0,2:50,2006-03-30,https://i.scdn.co/image/ab67616d0000b273ef7a44a6675dfe98f00922c9
55,anakohi|260,Anakohi,65688.0,4:20,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
56,anna|187,Anna,19229.0,3:07,2025-01-01,https://i.scdn.co/image/ab67616d0000b27389b564940e7d0488251cf51e
57,anthropino to lathos mou|182,Anthropino To Lathos Mou,13851.0,3:02,1984-03-14,https://i.scdn.co/image/ab67616d0000b273748dabd792ec65b630b3015e
58,antidoto - hotel ermou live version|185,Antidoto - Hotel Ermou Live Version,177948.0,3:05,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
59,antidoto - live version|54,Antidoto - Live Version,77050.0,0:54,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
60,antidoto|281,Antidoto,314689.0,4:41,1998-04-01,https://i.scdn.co/image/ab67616d0000b273ef7de8aeb8507a7c7990668f
61,antistrofi metrisi - hotel ermou live version|176,Antistrofi Metrisi - Hotel Ermou Live Version,468030.0,2:56,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
62,antistrofi metrisi - live|213,Antistrofi Metrisi - Live,145762.0,3:33,2021-02-15,https://i.scdn.co/image/ab67616d0000b273354a278f40042aca47e7db91
63,apagorevmeno - dj matheos' latin flava dance mix|432,Apagorevmeno - DJ Matheos' Latin Flava Dance Mix,8889.0,7:12,2010-07-12,https://i.scdn.co/image/ab67616d0000b273185811d0c3bb7828c9aee0c1
64,apagorevmeno|260,Apagorevmeno,380401.0,4:20,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
65,apati|184,Apati,35543.0,3:04,2013-02-14,https://i.scdn.co/image/ab67616d0000b273a6ef3f9972d1fa7c798dc345
66,apo 'do ki apo 'ki|176,Apo 'Do Ki Apo 'Ki,7073.0,2:56,2006-03-25,https://i.scdn.co/image/ab67616d0000b273647e75c09a70d541dd9e98d8
67,apo do ki apo ki|176,Apo Do Ki Apo Ki,7073.0,2:56,1993-06-01,https://i.scdn.co/image/ab67616d0000b273ad9d12a29e4c0c699380c275
68,apo makria kai agapimeni - mixed|76,Apo Makria Kai Agapimeni - Mixed,22041.0,1:16,2010-06-15,https://i.scdn.co/image/ab67616d0000b273b3ffc0c8b82fcc7e8be90432
69,apo makria ke agapimeni - remix by alex papaconstantinou|131,Apo Makria Ke Agapimeni - Remix by Alex Papaconstantinou,104552.0,2:11,2009-12-25,https://i.scdn.co/image/ab67616d0000b273aaeedd302f714fd041d6ce75
70,apo makria ke agapimeni|242,Apo Makria Ke Agapimeni,997276.0,4:02,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
71,apodeixeis - hotel ermou live version|146,Apodeixeis - Hotel Ermou Live Version,870625.0,2:26,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
72,apodixis|166,Apodixis,515758.0,2:46,1986-04-22,https://i.scdn.co/image/ab67616d0000b27365c697e7b6b91a77ace8b7b2
73,apolito keno|301,Apolito Keno,334187.0,5:01,1997-04-16,https://i.scdn.co/image/ab67616d0000b273e69329448409b803d727719e
74,apopse lipis apo 'do|265,Apopse Lipis Apo 'Do,112588.0,4:25,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
75,argisame poli|184,Argisame Poli,4491.0,3:04,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
76,arketa|174,Arketa,57609.0,2:54,1984-03-14,https://i.scdn.co/image/ab67616d0000b273fc2c1a8bfb8cb11a02ed8e4e
77,as ixera|204,As Ixera,4891.0,3:24,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
78,as kanoume apopse mia arhi - live|140,As Kanoume Apopse Mia Arhi - Live,9027.0,2:20,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
79,as kanoume apopse mian arhi|227,As Kanoume Apopse Mian Arhi,46733.0,3:47,1993-06-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
80,"as min poume tipota - from ""oi kampanes tou edelvais""|254","As Min Poume Tipota - From ""Oi Kampanes Tou Edelvais""",14755.0,4:14,2015-04-24,https://i.scdn.co/image/ab67616d0000b273c4c7d35d0c68408f358142fc
81,ase tous erotes - hotel ermou live version|214,Ase Tous Erotes - Hotel Ermou Live Version,100340.0,3:34,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
82,ase tous erotes|269,Ase Tous Erotes,482969.0,4:29,2015-11-30,https://i.scdn.co/image/ab67616d0000b273b0f3e9716968614adad15b00
83,atmosfaira - hotel ermou live version|178,Atmosfaira - Hotel Ermou Live Version,405965.0,2:58,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
84,atmosfera ilektrismeni - live version|162,Atmosfera Ilektrismeni - Live Version,208708.0,2:42,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
85,atmosfera ilektrismeni - live|267,Atmosfera Ilektrismeni - Live,423767.0,4:27,2021-02-15,https://i.scdn.co/image/ab67616d0000b273354a278f40042aca47e7db91
86,atmosphera ilectrismeni|314,Atmosphera Ilectrismeni,2715711.0,5:14,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
87,auti ti fora|394,Auti Ti Fora,85331.0,6:34,2025-01-01,https://i.scdn.co/image/ab67616d0000b27389b564940e7d0488251cf51e
88,axize|226,Axize,51538.0,3:46,1992-05-28,https://i.scdn.co/image/ab67616d0000b2735c6925bf70a4960c8e124d86
89,balomataki|180,Balomataki,46854.0,2:60,1989-12-07,https://i.scdn.co/image/ab67616d0000b27359e2ae559dcda970e677d36e
90,berde kai berde - live|167,Berde kai berde - Live,4742.0,2:47,2017-04-14,https://i.scdn.co/image/ab67616d0000b273ec5c0c825f82a9140a6c3465
91,boom boom boom|265,Boom Boom Boom,270689.0,4:25,2019-01-17,https://i.scdn.co/image/ab67616d0000b273f697a1469bd64df980023aac
