No,_key,title,plays,duration,release_date,cover_url
1,1988 ki akoma s'agapo|323,1988 Ki Akoma S'Agapo,16967.0,5:23,1988-06-23,https://i.scdn.co/image/ab67616d0000b27335ea6e4b84aab9e468c0b007
2,a beautiful night|181,A Beautiful Night,6418.0,3:01,2006-04-27,https://i.scdn.co/image/ab67616d0000b2735f53fb746df6aa43779c809e
3,aaa aaa (ke horisame)|181,Aaa Aaa (Ke Horisame),151488.0,3:01,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
4,adika|250,Adika,32468.0,4:10,1991-02-07,https://i.scdn.co/image/ab67616d0000b27394e085b2ede4f62a20f60820
5,adikos o horismos mas|193,Adikos O Horismos Mas,4689.0,3:13,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
6,adistrofi metrisi - live|132,Adistrofi Metrisi - Live,20482.0,2:12,1993-12-17,https://i.scdn.co/image/ab67616d0000b27312e44acc3e380f6fa9cd0446
7,adistrofi metrisi|240,Adistrofi Metrisi,1184708.0,4:00,1984-03-14,https://i.scdn.co/image/ab67616d0000b2739af901b9d9530c01a829a585
8,afixi sto aousvits - instrumental|102,Afixi Sto Aousvits - Instrumental,1833.0,1:42,2002-04-26,https://i.scdn.co/image/ab67616d0000b273b8576e13c95219ae8e9a0a18
9,afou|287,Afou,65406.0,4:47,2017-11-07,https://i.scdn.co/image/ab67616d0000b27366d4ff48ff0e9581568369a1
10,after you|297,After You,6183.0,4:57,2000-06-13,https://i.scdn.co/image/ab67616d0000b27355c69d02a37edefde7c5a8ce
11,afti ti fora|376,Afti Ti Fora,321290.0,6:16,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
12,aftos pou perimeno - anna's dream mix|264,Aftos Pou Perimeno - Anna's Dream Mix,32205.0,4:24,1997-11-07,https://i.scdn.co/image/ab67616d0000b27335c3c159825c6c895d064586
13,aftos pou perimeno - disco in the house mix|147,Aftos Pou Perimeno - Disco In The House Mix,31046.0,2:27,1997-11-07,https://i.scdn.co/image/ab67616d0000b27335c3c159825c6c895d064586
14,aftos pou perimeno - live version|29,Aftos Pou Perimeno - Live Version,1005.0,0:29,1984-03-14,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
15,aftos pou perimeno - remastered|150,Aftos Pou Perimeno - Remastered,685078.0,2:30,2006-03-30,https://i.scdn.co/image/ab67616d0000b273ef7a44a6675dfe98f00922c9
16,aftos pou perimeno|149,Aftos Pou Perimeno,686621.0,2:29,1993-06-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
17,aftoshediasmos - live version|177,Aftoshediasmos - Live Version,40915.0,2:57,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
18,agapa me (abrazame) - live version|90,Agapa Me (Abrazame) - Live Version,74810.0,1:30,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
19,agapa me|138,Agapa Me,28256.0,2:18,1985-01-10,https://i.scdn.co/image/ab67616d0000b2735f20f2f63fe64bfe775da003
20,agapes|173,Agapes,6325.0,2:53,1982-12-17,https://i.scdn.co/image/ab67616d0000b273d88d7bedbfbd881b07f3f89f
21,agapi einai esy - hotel ermou live version|37,Agapi Einai Esy - Hotel Ermou Live Version,676768.0,0:37,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
22,agapi ine esi|251,Agapi Ine Esi,776722.0,4:11,2010-11-01,https://i.scdn.co/image/ab67616d0000b2734ac13d5da9b353fd4e6ab919
23,agapi ine|248,Agapi Ine,483357.0,4:08,2005-09-26,https://i.scdn.co/image/ab67616d0000b2737378ccb9d3a30519e6335e07
